asin,negative,neutral,positive,total_reviews
B0B6JTYB49,7.7,0.0,92.3,13
B0B6KKXWQV,0.0,7.7,92.3,13
B0B74P7X31,12.5,0.0,87.5,8
B0B7CX57F4,0.0,100.0,0.0,1
B0B7NGBTKH,7.7,7.7,84.6,13
B0B89H61L5,7.7,15.4,76.9,13
B0B9BLHWB8,7.7,15.4,76.9,13
B0B9BN89HB,0.0,0.0,100.0,13
B0B9RQJFDV,0.0,0.0,100.0,13
B0B9T4KCV7,0.0,0.0,100.0,13
B0BB1SJ1B5,0.0,0.0,100.0,10
B0BB5ZBT42,0.0,0.0,100.0,10
B0BBMK7RCF,0.0,15.4,84.6,13
B0BBS8CTH2,0.0,0.0,100.0,13
B0BCDKP34B,0.0,7.7,92.3,13
B0BFJ4CRKD,7.7,0.0,92.3,13
B0BFQLRHTJ,0.0,0.0,100.0,11
B0BFX95J5P,0.0,0.0,100.0,13
B0BGPF71Q6,7.7,0.0,92.3,13
B0BHBP1X1B,0.0,0.0,100.0,13
B0BHX8JVNH,10.0,20.0,70.0,10
B0BJPN1Y3H,0.0,0.0,100.0,13
B0BKGPYDSZ,7.7,0.0,92.3,13
B0BKSKCYX7,7.7,7.7,84.6,13
B0BL7ZVY78,0.0,0.0,100.0,13
B0BL9F5S6R,7.7,7.7,84.6,13
B0BLLCJ963,15.4,0.0,84.6,13
B0BM3C13B6,7.7,0.0,92.3,13
B0BN2LZ9JH,0.0,0.0,100.0,13
B0BN2TWDZ5,0.0,7.7,92.3,13
B0BN6RRD5V,23.1,7.7,69.2,13
B0BN81XGG7,12.5,12.5,75.0,8
B0BNDM2RNG,0.0,0.0,100.0,13
B0BNHNG5CY,0.0,0.0,100.0,13
B0BNJWWR3S,7.7,7.7,84.6,13
B0BP69FS5K,30.8,0.0,69.2,13
B0BPYCHYP9,7.7,15.4,76.9,13
B0BR3M8XHK,0.0,0.0,100.0,13
B0BR5JHB3Z,0.0,15.4,84.6,13
B0BRCJL4MM,0.0,0.0,100.0,13
B0BRKPVZB4,8.3,0.0,91.7,12
B0BS17GYRM,11.1,11.1,77.8,9
B0BT8K88SR,0.0,0.0,100.0,13
B0BTTV6CT1,7.7,0.0,92.3,13
B0BTV6X42F,0.0,0.0,100.0,9
B0BVCXZL45,25.0,0.0,75.0,12
B0BVFLK3YV,7.7,7.7,84.6,13
B0BVG2WPX6,0.0,0.0,100.0,9
B0BW2TLQ8S,0.0,0.0,100.0,13
B0BW91HX7D,0.0,0.0,100.0,10
B0BWTW5DX2,0.0,7.7,92.3,13
B0BX3X6VDQ,0.0,0.0,100.0,13
B0BXBC26X8,0.0,0.0,100.0,13
B0BXFHW91M,7.7,7.7,84.6,13
B0BXN2J619,7.7,0.0,92.3,13
B0BXX1TJC8,0.0,0.0,100.0,13
B0BY27XSJ3,7.7,0.0,92.3,13
B0BY2Q3Q4K,7.7,0.0,92.3,13
B0BYYHSMHS,23.1,0.0,76.9,13
B0BZ3F5DCM,0.0,0.0,100.0,8
B0BZHR5KC9,0.0,0.0,100.0,13
B0BZRZGJDL,0.0,0.0,100.0,13
B0BZWT5FRR,0.0,0.0,100.0,13
B0BZXTB2RJ,15.4,0.0,84.6,13
B0BZYBP74R,0.0,0.0,100.0,13
B0BZYCJK89,0.0,0.0,100.0,13
B0BZZT7D5V,7.7,0.0,92.3,13
B0C13GFY7N,0.0,0.0,100.0,11
B0C1DZKS8J,0.0,0.0,100.0,13
B0C1NDGV2S,7.7,7.7,84.6,13
B0C1YBPJ43,15.4,0.0,84.6,13
B0C1Z48WKW,0.0,0.0,100.0,13
B0C1Z64LJR,15.4,0.0,84.6,13
B0C23S36QF,7.7,0.0,92.3,13
B0C2HGLLM5,7.7,15.4,76.9,13
B0C2JK9Y8V,7.7,7.7,84.6,13
B0C2JZMCPC,0.0,7.7,92.3,13
B0C35HNPW9,0.0,0.0,100.0,13
B0C3C1HYY7,7.7,0.0,92.3,13
B0C3M87K71,0.0,0.0,100.0,8
B0C4BZ28PG,12.5,12.5,75.0,8
B0C4JTPPYY,9.1,0.0,90.9,11
B0C4JV31PH,9.1,0.0,90.9,11
B0C4Y32M4S,0.0,7.7,92.3,13
B0C51934VF,0.0,0.0,100.0,13
B0C572T6G5,0.0,12.5,87.5,8
B0C5PGRP7V,0.0,0.0,100.0,13
B0C6LNFHTP,0.0,0.0,100.0,13
B0C7H3MSVJ,0.0,0.0,100.0,13
B0C7KYKTL5,11.1,11.1,77.8,9
B0C8171GTK,20.0,0.0,80.0,10
B0C8B9V7HR,0.0,0.0,100.0,13
B0C8HHV9DK,0.0,0.0,100.0,13
B0C8JZ57R1,0.0,0.0,100.0,13
B0C8QYB8W6,7.7,7.7,84.6,13
B0C8ZJNZY8,16.7,0.0,83.3,12
B0C9LP36Q5,0.0,0.0,100.0,13
B0C9ZJHQHM,0.0,0.0,100.0,13
B0CB1BNBY7,7.7,7.7,84.6,13
B0CB22K9LZ,0.0,0.0,100.0,13
B0CB9PF1N6,0.0,0.0,100.0,8
B0CBLY5GWQ,7.7,0.0,92.3,13
B0CBTWV1RZ,0.0,7.7,92.3,13
B0CBWXCS6B,0.0,25.0,75.0,4
B0CC1F4V7Q,0.0,0.0,100.0,13
B0CC1F7SDR,0.0,0.0,100.0,13
B0CC1FTGMB,0.0,0.0,100.0,13
B0CCF6J2Q6,0.0,7.7,92.3,13
B0CD9NXQXR,0.0,0.0,100.0,8
B0CDGLMN8S,0.0,0.0,100.0,7
B0CDL2V8KX,0.0,0.0,100.0,10
B0CDPLYPXB,7.7,7.7,84.6,13
B0CDQ81X9T,0.0,7.7,92.3,13
B0CDZJJC48,15.4,0.0,84.6,13
B0CF3VGQFL,7.7,7.7,84.6,13
B0CF4DJM7F,7.7,0.0,92.3,13
B0CF4L9LPR,0.0,7.7,92.3,13
B0CFVDX4HT,7.7,0.0,92.3,13
B0CFXNZ26Z,0.0,0.0,100.0,8
B0CG28KM9Y,0.0,7.7,92.3,13
B0CG6NBJ61,0.0,0.0,100.0,13
B0CG6NR413,0.0,0.0,100.0,13
B0CG6TN45R,0.0,15.4,84.6,13
B0CG6V2XGS,0.0,15.4,84.6,13
B0CGCH8223,15.4,0.0,84.6,13
B0CGCLFTRX,0.0,0.0,100.0,13
B0CGCMS31N,0.0,7.7,92.3,13
B0CGT6ZRGJ,7.7,15.4,76.9,13
B0CH455W8X,0.0,0.0,100.0,13
B0CH8YYMPK,0.0,0.0,100.0,8
B0CHGVV5L7,0.0,0.0,100.0,13
B0CHGWX7HG,0.0,0.0,100.0,13
B0CHHSFMRL,0.0,8.3,91.7,12
B0CHJ1TN7H,0.0,7.7,92.3,13
B0CHYWN5W6,0.0,12.5,87.5,8
B0CJHZ92P6,7.7,0.0,92.3,13
B0CJM6WYZ8,0.0,0.0,100.0,13
B0CKXSGV8F,7.7,0.0,92.3,13
B0CL7RDRRT,0.0,7.7,92.3,13
B0CLFFB8MH,7.7,7.7,84.6,13
B0CLH89X2K,0.0,8.3,91.7,12
B0CLLHSWRL,0.0,0.0,100.0,13
B0CM44GT41,23.1,0.0,76.9,13
B0CMM89Y6Z,7.7,0.0,92.3,13
B0CMQLKP9J,7.7,7.7,84.6,13
B0CN1JGYKQ,10.0,0.0,90.0,10
B0CN1L2BG8,0.0,0.0,100.0,4
B0CN3F9Y1Z,0.0,0.0,100.0,13
B0CN3T7NZ5,0.0,0.0,100.0,11
B0CNCY18SW,0.0,7.7,92.3,13
B0CNK1JWPV,12.5,0.0,87.5,8
B0CNTH3F7P,11.1,0.0,88.9,9
B0CNZS9RRB,0.0,7.7,92.3,13
B0CP22DQQS,0.0,15.4,84.6,13
B0CP2DT6SH,0.0,0.0,100.0,13
B0CP5QXC1H,0.0,0.0,100.0,13
B0CP8QM3R1,23.1,7.7,69.2,13
B0CP9YB3Q4,0.0,0.0,100.0,13
B0CPLT23TZ,0.0,7.7,92.3,13
B0CQ2MSP2B,0.0,0.0,100.0,13
B0CQ3ZGKP3,15.4,7.7,76.9,13
B0CQ53RVTW,0.0,0.0,100.0,13
B0CQJVSL1Z,0.0,7.7,92.3,13
B0CQVWW5QK,7.7,0.0,92.3,13
B0CR6BWHQN,23.1,7.7,69.2,13
B0CR6JBJDH,7.7,7.7,84.6,13
B0CR7L79Q2,0.0,12.5,87.5,8
B0CRB4K3DW,0.0,0.0,100.0,9
B0CRH87MK9,0.0,0.0,100.0,8
B0CRQX9R5H,7.7,0.0,92.3,13
B0CRY97FPB,0.0,0.0,100.0,8
B0CS2WQML6,0.0,0.0,100.0,13
B0CSDRZSGG,0.0,0.0,100.0,13
B0CSM2MJ55,7.7,0.0,92.3,13
B0CSYYKB97,0.0,0.0,100.0,13
B0CT4H26HR,10.0,0.0,90.0,10
B0CT4HX4T9,10.0,0.0,90.0,10
B0CTCLBST5,0.0,0.0,100.0,13
B0CTJ4P8CH,7.7,7.7,84.6,13
B0CTJGJL2T,0.0,0.0,100.0,13
B0CVL1K7DX,7.7,0.0,92.3,13
B0CW3VWC3X,7.7,0.0,92.3,13
B0CW5ZVKSX,0.0,7.7,92.3,13
B0CW6KY2ZK,100.0,0.0,0.0,1
B0CWGJZ35S,0.0,7.7,92.3,13
B0CWRCCFTM,7.7,7.7,84.6,13
B0CWS28VK1,7.7,0.0,92.3,13
B0CX1FRR27,0.0,0.0,100.0,8
B0CX1RDX77,0.0,7.7,92.3,13
B0CXHNGDC1,0.0,0.0,100.0,13
B0CXJ97TV1,8.3,0.0,91.7,12
B0CXJHCVHZ,0.0,11.1,88.9,9
B0CY2C7H6S,0.0,0.0,100.0,13
B0CYQ5P6T7,0.0,7.7,92.3,13
B0CZ53DPHR,0.0,0.0,100.0,11
B0CZ87MBS6,0.0,0.0,100.0,13
B0CZL55GR7,0.0,0.0,100.0,13
B0CZMPX2PW,0.0,0.0,100.0,13
B0CZQCTD4K,7.7,7.7,84.6,13
B0D14N2QZF,0.0,0.0,100.0,13
B0D1D8BRK2,7.7,7.7,84.6,13
B0D1DGYSFR,0.0,0.0,100.0,3
B0D1DLY4H4,7.7,0.0,92.3,13
B0D1DRYBTN,23.1,0.0,76.9,13
B0D1KDFG6J,0.0,0.0,100.0,13
B0D1KHCHZP,0.0,0.0,100.0,13
B0D1QY8PL6,0.0,0.0,100.0,8
B0D1XLNWP2,0.0,7.7,92.3,13
B0D28Q1NFB,7.7,7.7,84.6,13
B0D2HJDH94,7.7,7.7,84.6,13
B0D2LGK82V,0.0,25.0,75.0,8
B0D2PKRQSN,0.0,7.7,92.3,13
B0D2PNMDJZ,11.1,11.1,77.8,9
B0D2W136D1,0.0,12.5,87.5,8
B0D2X2KP7Q,0.0,0.0,100.0,13
B0D31VM76T,0.0,7.7,92.3,13
B0D41XL87F,0.0,0.0,100.0,13
B0D44Y2NSF,0.0,0.0,100.0,13
B0D45PK5V4,0.0,0.0,100.0,13
B0D47CZT4G,15.4,7.7,76.9,13
B0D4DG2CG2,11.1,0.0,88.9,9
B0D4QVHWPJ,0.0,0.0,100.0,13
B0D4TKP2M1,7.7,0.0,92.3,13
B0D5CHZYP6,7.7,7.7,84.6,13
B0D5FYJBT9,0.0,0.0,100.0,13
B0D5MTX69F,7.7,15.4,76.9,13
B0D5R69MPV,0.0,11.1,88.9,9
B0D63KYHHH,12.5,12.5,75.0,8
B0D6SX8VLQ,0.0,7.7,92.3,13
B0D6W1GQ6X,11.1,11.1,77.8,9
B0D6W8GSL3,0.0,0.0,100.0,13
B0D6WB7BV6,0.0,0.0,100.0,13
B0D6WD2QSQ,0.0,0.0,100.0,13
